file,sim_model,N,k,k_split,separation,entropy,p,m
p1m1_c2.out,  p1m1,1000,2,even,ideal ,0.911,  p1,  m1
p1m1_c3.out,  p1m1,1000,3,even,ideal ,0.893,  p1,  m1
p1m1_c4.out,  p1m1,1000,4,even,ideal ,0.909,  p1,  m1
p1m1_c5.out,  p1m1,1000,5,even,ideal ,0.906,  p1,  m1
p1m1_c6.out,  p1m1,1000,6,even,ideal ,0.902,  p1,  m1
p1m1_c2.out,  p1m1,200,2,even,ideal ,0.955,  p1,  m1
p1m1_c3.out,  p1m1,200,3,even,ideal ,0.952,  p1,  m1
p1m1_c4.out,  p1m1,200,4,even,ideal ,0.946,  p1,  m1
p1m1_c5.out,  p1m1,200,5,even,ideal ,0.949,  p1,  m1
p1m1_c6.out,  p1m1,200,6,even,ideal ,0.96,  p1,  m1
p1m1_c2.out,  p1m1,500,2,even,ideal ,0.932,  p1,  m1
p1m1_c3.out,  p1m1,500,3,even,ideal ,0.941,  p1,  m1
p1m1_c4.out,  p1m1,500,4,even,ideal ,0.93,  p1,  m1
p1m1_c5.out,  p1m1,500,5,even,ideal ,0.921,  p1,  m1
p1m1_c6.out,  p1m1,500,6,even,ideal ,0.897,  p1,  m1
p1m1_c2.out,  p1m1,5000,2,even,ideal ,0.907,  p1,  m1
p1m1_c3.out,  p1m1,5000,3,even,ideal ,0.917,  p1,  m1
p1m1_c4.out,  p1m1,5000,4,even,ideal ,0.907,  p1,  m1
p1m1_c5.out,  p1m1,5000,5,even,ideal ,0.898,  p1,  m1
p1m1_c6.out,  p1m1,5000,6,even,ideal ,0.894,  p1,  m1
p1m1_c2.out,  p1m1,1000,2,uneven,ideal ,0.91,  p1,  m1
p1m1_c3.out,  p1m1,1000,3,uneven,ideal ,0.924,  p1,  m1
p1m1_c4.out,  p1m1,1000,4,uneven,ideal ,0.913,  p1,  m1
p1m1_c5.out,  p1m1,1000,5,uneven,ideal ,0.927,  p1,  m1
p1m1_c6.out,  p1m1,1000,6,uneven,ideal ,0.922,  p1,  m1
p1m1_c2.out,  p1m1,200,2,uneven,ideal ,0.938,  p1,  m1
p1m1_c3.out,  p1m1,200,3,uneven,ideal ,0.961,  p1,  m1
p1m1_c4.out,  p1m1,200,4,uneven,ideal ,0.947,  p1,  m1
p1m1_c5.out,  p1m1,200,5,uneven,ideal ,0.948,  p1,  m1
p1m1_c6.out,  p1m1,200,6,uneven,ideal ,0.96,  p1,  m1
p1m1_c2.out,  p1m1,500,2,uneven,ideal ,0.921,  p1,  m1
