file,sim_model,N,k,k_split,separation,entropy,p,m
p1m1_c2.out,  p1m1,1000,2,even,realistic ,0.866,  p1,  m1
p1m1_c3.out,  p1m1,1000,3,even,realistic ,0.867,  p1,  m1
p1m1_c4.out,  p1m1,1000,4,even,realistic ,0.82,  p1,  m1
p1m1_c5.out,  p1m1,1000,5,even,realistic ,0.828,  p1,  m1
p1m1_c6.out,  p1m1,1000,6,even,realistic ,0.806,  p1,  m1
p1m1_c2.out,  p1m1,200,2,even,realistic ,0.928,  p1,  m1
p1m1_c3.out,  p1m1,200,3,even,realistic ,0.889,  p1,  m1
p1m1_c4.out,  p1m1,200,4,even,realistic ,0.882,  p1,  m1
p1m1_c5.out,  p1m1,200,5,even,realistic ,0.902,  p1,  m1
p1m1_c6.out,  p1m1,200,6,even,realistic ,0.934,  p1,  m1
p1m1_c2.out,  p1m1,500,2,even,realistic ,0.887,  p1,  m1
p1m1_c3.out,  p1m1,500,3,even,realistic ,0.888,  p1,  m1
p1m1_c4.out,  p1m1,500,4,even,realistic ,0.837,  p1,  m1
p1m1_c5.out,  p1m1,500,5,even,realistic ,0.831,  p1,  m1
p1m1_c6.out,  p1m1,500,6,even,realistic ,0.815,  p1,  m1
p1m1_c2.out,  p1m1,5000,2,even,realistic ,0.777,  p1,  m1
p1m1_c3.out,  p1m1,5000,3,even,realistic ,0.861,  p1,  m1
p1m1_c4.out,  p1m1,5000,4,even,realistic ,0.818,  p1,  m1
p1m1_c5.out,  p1m1,5000,5,even,realistic ,0.833,  p1,  m1
p1m1_c6.out,  p1m1,5000,6,even,realistic ,0.825,  p1,  m1
p1m1_c2.out,  p1m1,1000,2,uneven,realistic ,0.869,  p1,  m1
p1m1_c3.out,  p1m1,1000,3,uneven,realistic ,0.879,  p1,  m1
p1m1_c4.out,  p1m1,1000,4,uneven,realistic ,0.838,  p1,  m1
p1m1_c5.out,  p1m1,1000,5,uneven,realistic ,0.851,  p1,  m1
p1m1_c6.out,  p1m1,1000,6,uneven,realistic ,0.869,  p1,  m1
p1m1_c2.out,  p1m1,200,2,uneven,realistic ,0.916,  p1,  m1
p1m1_c3.out,  p1m1,200,3,uneven,realistic ,0.896,  p1,  m1
p1m1_c4.out,  p1m1,200,4,uneven,realistic ,0.882,  p1,  m1
p1m1_c5.out,  p1m1,200,5,uneven,realistic ,0.905,  p1,  m1
p1m1_c6.out,  p1m1,200,6,uneven,realistic ,0.912,  p1,  m1
p1m1_c2.out,  p1m1,500,2,uneven,realistic ,0.888,  p1,  m1
p1m1_c3.out,  p1m1,500,3,uneven,realistic ,0.879,  p1,  m1
p1m1_c4.out,  p1m1,500,4,uneven,realistic ,0.843,  p1,  m1
