file,sim_model,N,k,k_split,separation,entropy,p,m
p1m1_c2.out,  p1m1,1000,2,even,realistic ,0.804,  p1,  m1
p1m1_c3.out,  p1m1,1000,3,even,realistic ,0.758,  p1,  m1
p1m1_c4.out,  p1m1,1000,4,even,realistic ,0.772,  p1,  m1
p1m1_c5.out,  p1m1,1000,5,even,realistic ,0.799,  p1,  m1
p1m1_c2.out,  p1m1,200,2,even,realistic ,0.774,  p1,  m1
p1m1_c3.out,  p1m1,200,3,even,realistic ,0.909,  p1,  m1
p1m1_c4.out,  p1m1,200,4,even,realistic ,0.842,  p1,  m1
p1m1_c5.out,  p1m1,200,5,even,realistic ,0.845,  p1,  m1
p1m1_c2.out,  p1m1,500,2,even,realistic ,0.751,  p1,  m1
p1m1_c3.out,  p1m1,500,3,even,realistic ,0.835,  p1,  m1
p1m1_c4.out,  p1m1,500,4,even,realistic ,0.75,  p1,  m1
p1m1_c5.out,  p1m1,500,5,even,realistic ,0.81,  p1,  m1
p1m1_c2.out,  p1m1,5000,2,even,realistic ,0.762,  p1,  m1
p1m1_c3.out,  p1m1,5000,3,even,realistic ,0.785,  p1,  m1
p1m1_c4.out,  p1m1,5000,4,even,realistic ,0.771,  p1,  m1
p1m1_c5.out,  p1m1,5000,5,even,realistic ,0.723,  p1,  m1
p1m1_c2.out,  p1m1,1000,2,uneven,realistic ,0.733,  p1,  m1
p1m1_c3.out,  p1m1,1000,3,uneven,realistic ,0.755,  p1,  m1
p1m1_c4.out,  p1m1,1000,4,uneven,realistic ,0.74,  p1,  m1
p1m1_c5.out,  p1m1,1000,5,uneven,realistic ,0.72,  p1,  m1
p1m1_c2.out,  p1m1,200,2,uneven,realistic ,0.851,  p1,  m1
p1m1_c3.out,  p1m1,200,3,uneven,realistic ,0.832,  p1,  m1
p1m1_c4.out,  p1m1,200,4,uneven,realistic ,0.892,  p1,  m1
p1m1_c5.out,  p1m1,200,5,uneven,realistic ,0.903,  p1,  m1
p1m1_c2.out,  p1m1,500,2,uneven,realistic ,0.744,  p1,  m1
p1m1_c3.out,  p1m1,500,3,uneven,realistic ,0.795,  p1,  m1
p1m1_c4.out,  p1m1,500,4,uneven,realistic ,0.76,  p1,  m1
p1m1_c5.out,  p1m1,500,5,uneven,realistic ,0.848,  p1,  m1
p1m1_c2.out,  p1m1,5000,2,uneven,realistic ,0.761,  p1,  m1
p1m1_c3.out,  p1m1,5000,3,uneven,realistic ,0.775,  p1,  m1
p1m1_c4.out,  p1m1,5000,4,uneven,realistic ,0.757,  p1,  m1
p1m1_c5.out,  p1m1,5000,5,uneven,realistic ,0.775,  p1,  m1
p2m1_c2.out,  p2m1,1000,2,even,realistic ,0.813,  p2,  m1
p2m1_c3.out,  p2m1,1000,3,even,realistic ,0.712,  p2,  m1
p2m1_c4.out,  p2m1,1000,4,even,realistic ,0.785,  p2,  m1
p2m1_c5.out,  p2m1,1000,5,even,realistic ,0.81,  p2,  m1
p2m1_c2.out,  p2m1,200,2,even,realistic ,0.838,  p2,  m1
p2m1_c3.out,  p2m1,200,3,even,realistic ,0.885,  p2,  m1
p2m1_c4.out,  p2m1,200,4,even,realistic ,0.84,  p2,  m1
p2m1_c5.out,  p2m1,200,5,even,realistic ,0.898,  p2,  m1
p2m1_c2.out,  p2m1,500,2,even,realistic ,0.793,  p2,  m1
p2m1_c3.out,  p2m1,500,3,even,realistic ,0.862,  p2,  m1
p2m1_c4.out,  p2m1,500,4,even,realistic ,0.77,  p2,  m1
p2m1_c5.out,  p2m1,500,5,even,realistic ,0.811,  p2,  m1
p2m1_c2.out,  p2m1,5000,2,even,realistic ,0.785,  p2,  m1
p2m1_c3.out,  p2m1,5000,3,even,realistic ,0.774,  p2,  m1
p2m1_c4.out,  p2m1,5000,4,even,realistic ,0.782,  p2,  m1
p2m1_c5.out,  p2m1,5000,5,even,realistic ,0.787,  p2,  m1
p2m1_c2.out,  p2m1,1000,2,uneven,realistic ,0.818,  p2,  m1
p2m1_c3.out,  p2m1,1000,3,uneven,realistic ,0.74,  p2,  m1
p2m1_c4.out,  p2m1,1000,4,uneven,realistic ,0.765,  p2,  m1
p2m1_c5.out,  p2m1,1000,5,uneven,realistic ,0.786,  p2,  m1
p2m1_c2.out,  p2m1,200,2,uneven,realistic ,0.839,  p2,  m1
p2m1_c3.out,  p2m1,200,3,uneven,realistic ,0.932,  p2,  m1
p2m1_c4.out,  p2m1,200,4,uneven,realistic ,0.921,  p2,  m1
p2m1_c5.out,  p2m1,200,5,uneven,realistic ,0.865,  p2,  m1
p2m1_c2.out,  p2m1,500,2,uneven,realistic ,0.771,  p2,  m1
p2m1_c3.out,  p2m1,500,3,uneven,realistic ,0.808,  p2,  m1
p2m1_c4.out,  p2m1,500,4,uneven,realistic ,0.786,  p2,  m1
p2m1_c5.out,  p2m1,500,5,uneven,realistic ,0.868,  p2,  m1
p2m1_c2.out,  p2m1,5000,2,uneven,realistic ,0.809,  p2,  m1
p2m1_c3.out,  p2m1,5000,3,uneven,realistic ,0.728,  p2,  m1
p2m1_c4.out,  p2m1,5000,4,uneven,realistic ,0.796,  p2,  m1
p2m1_c5.out,  p2m1,5000,5,uneven,realistic ,0.802,  p2,  m1
p2m2_c2.out,  p2m2,1000,2,even,realistic ,0.901,  p2,  m2
p2m2_c3.out,  p2m2,1000,3,even,realistic ,0.839,  p2,  m2
