file,sim_model,N,k,k_split,de,separation,entropy,p,m
p3m1_c2.out,  p3m1,1000,2,even,0.405,realistic ,0.856,  p3,  m1
p3m1_c3.out,  p3m1,1000,3,even,0.405,realistic ,0.774,  p3,  m1
p3m1_c4.out,  p3m1,1000,4,even,0.405,realistic ,0.778,  p3,  m1
p3m1_c5.out,  p3m1,1000,5,even,0.405,realistic ,0.791,  p3,  m1
p3m1_c2.out,  p3m1,1000,2,even,0.9,realistic ,0.864,  p3,  m1
p3m1_c3.out,  p3m1,1000,3,even,0.9,realistic ,0.787,  p3,  m1
p3m1_c4.out,  p3m1,1000,4,even,0.9,realistic ,0.783,  p3,  m1
p3m1_c5.out,  p3m1,1000,5,even,0.9,realistic ,0.815,  p3,  m1
p3m1_c2.out,  p3m1,1000,2,even,1.5,realistic ,0.875,  p3,  m1
p3m1_c3.out,  p3m1,1000,3,even,1.5,realistic ,0.794,  p3,  m1
p3m1_c4.out,  p3m1,1000,4,even,1.5,realistic ,0.765,  p3,  m1
p3m1_c5.out,  p3m1,1000,5,even,1.5,realistic ,0.8,  p3,  m1
p3m1_c2.out,  p3m1,200,2,even,0.405,realistic ,0.886,  p3,  m1
p3m1_c3.out,  p3m1,200,3,even,0.405,realistic ,0.891,  p3,  m1
p3m1_c4.out,  p3m1,200,4,even,0.405,realistic ,0.837,  p3,  m1
p3m1_c5.out,  p3m1,200,5,even,0.405,realistic ,0.806,  p3,  m1
p3m1_c2.out,  p3m1,200,2,even,0.9,realistic ,0.895,  p3,  m1
p3m1_c3.out,  p3m1,200,3,even,0.9,realistic ,0.883,  p3,  m1
p3m1_c4.out,  p3m1,200,4,even,0.9,realistic ,0.82,  p3,  m1
p3m1_c5.out,  p3m1,200,5,even,0.9,realistic ,0.845,  p3,  m1
p3m1_c2.out,  p3m1,200,2,even,1.5,realistic ,0.91,  p3,  m1
p3m1_c3.out,  p3m1,200,3,even,1.5,realistic ,0.902,  p3,  m1
p3m1_c4.out,  p3m1,200,4,even,1.5,realistic ,0.841,  p3,  m1
p3m1_c5.out,  p3m1,200,5,even,1.5,realistic ,0.857,  p3,  m1
p3m1_c2.out,  p3m1,500,2,even,0.405,realistic ,0.822,  p3,  m1
p3m1_c3.out,  p3m1,500,3,even,0.405,realistic ,0.893,  p3,  m1
p3m1_c4.out,  p3m1,500,4,even,0.405,realistic ,0.782,  p3,  m1
p3m1_c5.out,  p3m1,500,5,even,0.405,realistic ,0.807,  p3,  m1
p3m1_c2.out,  p3m1,500,2,even,0.9,realistic ,0.871,  p3,  m1
p3m1_c3.out,  p3m1,500,3,even,0.9,realistic ,0.886,  p3,  m1
p3m1_c4.out,  p3m1,500,4,even,0.9,realistic ,0.793,  p3,  m1
p3m1_c5.out,  p3m1,500,5,even,0.9,realistic ,0.832,  p3,  m1
p3m1_c2.out,  p3m1,500,2,even,1.5,realistic ,0.879,  p3,  m1
p3m1_c3.out,  p3m1,500,3,even,1.5,realistic ,0.902,  p3,  m1
p3m1_c4.out,  p3m1,500,4,even,1.5,realistic ,0.81,  p3,  m1
p3m1_c5.out,  p3m1,500,5,even,1.5,realistic ,0.815,  p3,  m1
p3m1_c2.out,  p3m1,5000,2,even,0.405,realistic ,0.815,  p3,  m1
p3m1_c3.out,  p3m1,5000,3,even,0.405,realistic ,0.78,  p3,  m1
p3m1_c4.out,  p3m1,5000,4,even,0.405,realistic ,0.778,  p3,  m1
p3m1_c5.out,  p3m1,5000,5,even,0.405,realistic ,0.793,  p3,  m1
p3m1_c2.out,  p3m1,5000,2,even,0.9,realistic ,0.837,  p3,  m1
