Fit_Index,sim_model,k_split,separation,N,model,Class_2,Class_3,Class_4,Class_5,Class_6,Total,p,m
AWE,p1m1,even,ideal,200,complex,8,76,15,0,0,427,p1,m1
AWE,p1m1,even,ideal,500,complex,0,0,56,44,0,452,p1,m1
AWE,p1m1,even,ideal,1000,complex,0,0,0,100,0,488,p1,m1
AWE,p1m1,even,ideal,5000,complex,0,0,0,100,0,468,p1,m1
AWE,p1m1,uneven,ideal,200,complex,17,80,3,0,0,373,p1,m1
AWE,p1m1,uneven,ideal,500,complex,0,0,100,0,0,424,p1,m1
AWE,p1m1,uneven,ideal,1000,complex,0,0,70,30,0,479,p1,m1
AWE,p1m1,uneven,ideal,5000,complex,0,0,0,100,0,466,p1,m1
BIC,p1m1,even,ideal,200,complex,0,0,16,84,0,427,p1,m1
BIC,p1m1,even,ideal,500,complex,0,0,0,100,0,452,p1,m1
BIC,p1m1,even,ideal,1000,complex,0,0,0,100,0,488,p1,m1
BIC,p1m1,even,ideal,5000,complex,0,0,0,100,0,468,p1,m1
BIC,p1m1,uneven,ideal,200,complex,0,0,84,16,0,373,p1,m1
BIC,p1m1,uneven,ideal,500,complex,0,0,10,90,0,424,p1,m1
BIC,p1m1,uneven,ideal,1000,complex,0,0,0,100,0,479,p1,m1
BIC,p1m1,uneven,ideal,5000,complex,0,0,0,100,0,466,p1,m1
CAIC,p1m1,even,ideal,200,complex,0,0,37,63,0,427,p1,m1
CAIC,p1m1,even,ideal,500,complex,0,0,0,100,0,452,p1,m1
CAIC,p1m1,even,ideal,1000,complex,0,0,0,100,0,488,p1,m1
CAIC,p1m1,even,ideal,5000,complex,0,0,0,100,0,468,p1,m1
CAIC,p1m1,uneven,ideal,200,complex,0,1,96,3,0,373,p1,m1
CAIC,p1m1,uneven,ideal,500,complex,0,0,27,73,0,424,p1,m1
CAIC,p1m1,uneven,ideal,1000,complex,0,0,0,100,0,479,p1,m1
CAIC,p1m1,uneven,ideal,5000,complex,0,0,0,100,0,466,p1,m1
VLMR,p1m1,even,ideal,200,complex,4,2,16,54,24,427,p1,m1
VLMR,p1m1,even,ideal,500,complex,1,0,0,65,34,452,p1,m1
VLMR,p1m1,even,ideal,1000,complex,0,0,0,75,25,488,p1,m1
VLMR,p1m1,even,ideal,5000,complex,0,0,0,86,14,468,p1,m1
VLMR,p1m1,uneven,ideal,200,complex,7,3,30,45,15,373,p1,m1
VLMR,p1m1,uneven,ideal,500,complex,1,0,8,66,25,424,p1,m1
VLMR,p1m1,uneven,ideal,1000,complex,0,0,0,75,25,479,p1,m1
VLMR,p1m1,uneven,ideal,5000,complex,0,0,0,84,16,466,p1,m1
aBIC,p1m1,even,ideal,200,complex,0,0,0,75,25,427,p1,m1
aBIC,p1m1,even,ideal,500,complex,0,0,0,98,2,452,p1,m1
aBIC,p1m1,even,ideal,1000,complex,0,0,0,100,0,488,p1,m1
aBIC,p1m1,even,ideal,5000,complex,0,0,0,100,0,468,p1,m1
aBIC,p1m1,uneven,ideal,200,complex,0,0,2,74,25,373,p1,m1
aBIC,p1m1,uneven,ideal,500,complex,0,0,0,98,2,424,p1,m1
aBIC,p1m1,uneven,ideal,1000,complex,0,0,0,100,0,479,p1,m1
aBIC,p1m1,uneven,ideal,5000,complex,0,0,0,100,0,466,p1,m1
cmPk,p1m1,even,ideal,200,complex,0,0,16,84,0,427,p1,m1
cmPk,p1m1,even,ideal,500,complex,0,0,0,100,0,452,p1,m1
cmPk,p1m1,even,ideal,1000,complex,0,0,0,100,0,488,p1,m1
cmPk,p1m1,even,ideal,5000,complex,0,0,0,100,0,468,p1,m1
cmPk,p1m1,uneven,ideal,200,complex,0,0,84,16,0,373,p1,m1
cmPk,p1m1,uneven,ideal,500,complex,0,0,10,90,0,424,p1,m1
cmPk,p1m1,uneven,ideal,1000,complex,0,0,0,100,0,479,p1,m1
cmPk,p1m1,uneven,ideal,5000,complex,0,0,0,100,0,466,p1,m1
AWE,p2m1,even,ideal,200,complex,11,81,8,0,0,418,p2,m1
AWE,p2m1,even,ideal,500,complex,0,0,38,62,0,457,p2,m1
AWE,p2m1,even,ideal,1000,complex,0,0,0,100,0,483,p2,m1
AWE,p2m1,even,ideal,5000,complex,0,0,0,100,0,467,p2,m1
AWE,p2m1,uneven,ideal,200,complex,15,82,2,0,0,403,p2,m1
AWE,p2m1,uneven,ideal,500,complex,0,1,92,7,0,450,p2,m1
AWE,p2m1,uneven,ideal,1000,complex,0,0,1,99,0,482,p2,m1
