Fit_Index,sim_model,k_split,separation,N,de,model,Class_2,Class_3,Class_4,Class_5,Class_6,Total,p,m
AWE,p3m1,even,ideal,200,1.5,complex,12,85,3,0,0,265,p3,m1
AWE,p3m1,even,ideal,200,0.9,complex,9,85,6,0,0,262,p3,m1
AWE,p3m1,even,ideal,200,0.405,complex,5,86,9,0,0,275,p3,m1
AWE,p3m1,even,ideal,500,1.5,complex,0,0,58,42,0,386,p3,m1
AWE,p3m1,even,ideal,500,0.9,complex,0,0,39,61,0,390,p3,m1
AWE,p3m1,even,ideal,500,0.405,complex,0,0,38,62,0,400,p3,m1
AWE,p3m1,even,ideal,1000,1.5,complex,0,0,0,100,0,403,p3,m1
AWE,p3m1,even,ideal,1000,0.9,complex,0,0,0,100,0,423,p3,m1
AWE,p3m1,even,ideal,1000,0.405,complex,0,0,0,100,0,420,p3,m1
AWE,p3m1,even,ideal,5000,1.5,complex,0,0,0,100,0,486,p3,m1
AWE,p3m1,even,ideal,5000,0.9,complex,0,0,0,100,0,472,p3,m1
AWE,p3m1,even,ideal,5000,0.405,complex,0,0,0,100,0,457,p3,m1
AWE,p3m1,uneven,ideal,200,1.5,complex,16,84,0,0,0,244,p3,m1
AWE,p3m1,uneven,ideal,200,0.9,complex,13,84,3,0,0,261,p3,m1
AWE,p3m1,uneven,ideal,200,0.405,complex,9,88,3,0,0,306,p3,m1
AWE,p3m1,uneven,ideal,500,1.5,complex,0,3,91,6,0,365,p3,m1
AWE,p3m1,uneven,ideal,500,0.9,complex,0,1,93,6,0,395,p3,m1
AWE,p3m1,uneven,ideal,500,0.405,complex,0,1,91,8,0,390,p3,m1
AWE,p3m1,uneven,ideal,1000,1.5,complex,0,0,1,99,0,427,p3,m1
AWE,p3m1,uneven,ideal,1000,0.9,complex,0,0,1,99,0,415,p3,m1
AWE,p3m1,uneven,ideal,1000,0.405,complex,0,0,1,99,0,421,p3,m1
AWE,p3m1,uneven,ideal,5000,1.5,complex,0,0,0,100,0,478,p3,m1
AWE,p3m1,uneven,ideal,5000,0.9,complex,0,0,0,100,0,467,p3,m1
AWE,p3m1,uneven,ideal,5000,0.405,complex,0,0,0,100,0,457,p3,m1
BIC,p3m1,even,ideal,200,1.5,complex,0,1,21,78,0,265,p3,m1
BIC,p3m1,even,ideal,200,0.9,complex,0,0,15,85,0,262,p3,m1
BIC,p3m1,even,ideal,200,0.405,complex,0,0,11,89,0,275,p3,m1
BIC,p3m1,even,ideal,500,1.5,complex,0,0,0,100,0,386,p3,m1
BIC,p3m1,even,ideal,500,0.9,complex,0,0,0,100,0,390,p3,m1
BIC,p3m1,even,ideal,500,0.405,complex,0,0,0,100,0,400,p3,m1
BIC,p3m1,even,ideal,1000,1.5,complex,0,0,0,100,0,403,p3,m1
BIC,p3m1,even,ideal,1000,0.9,complex,0,0,0,100,0,423,p3,m1
