Fit_Index,sim_model,k_split,separation,N,model,Class_2,Class_3,Class_4,Class_5,Total,p,m
AWE,p1m1,even,ideal,200,simple,20,80,0,0,495,p1,m1
AWE,p1m1,even,ideal,500,simple,0,0,100,0,495,p1,m1
AWE,p1m1,even,ideal,1000,simple,0,0,100,0,492,p1,m1
AWE,p1m1,even,ideal,5000,simple,0,0,100,0,479,p1,m1
AWE,p1m1,uneven,ideal,200,simple,45,55,0,0,496,p1,m1
AWE,p1m1,uneven,ideal,500,simple,0,92,8,0,492,p1,m1
AWE,p1m1,uneven,ideal,1000,simple,0,5,95,0,488,p1,m1
AWE,p1m1,uneven,ideal,5000,simple,0,0,100,0,469,p1,m1
BIC,p1m1,even,ideal,200,simple,0,2,98,0,495,p1,m1
BIC,p1m1,even,ideal,500,simple,0,0,100,0,495,p1,m1
BIC,p1m1,even,ideal,1000,simple,0,0,100,0,492,p1,m1
BIC,p1m1,even,ideal,5000,simple,0,0,100,0,479,p1,m1
BIC,p1m1,uneven,ideal,200,simple,0,49,51,0,496,p1,m1
BIC,p1m1,uneven,ideal,500,simple,0,1,99,0,492,p1,m1
BIC,p1m1,uneven,ideal,1000,simple,0,0,100,0,488,p1,m1
BIC,p1m1,uneven,ideal,5000,simple,0,0,100,0,469,p1,m1
CAIC,p1m1,even,ideal,200,simple,0,5,95,0,495,p1,m1
CAIC,p1m1,even,ideal,500,simple,0,0,100,0,495,p1,m1
CAIC,p1m1,even,ideal,1000,simple,0,0,100,0,492,p1,m1
CAIC,p1m1,even,ideal,5000,simple,0,0,100,0,479,p1,m1
CAIC,p1m1,uneven,ideal,200,simple,0,72,28,0,496,p1,m1
CAIC,p1m1,uneven,ideal,500,simple,0,3,97,0,492,p1,m1
CAIC,p1m1,uneven,ideal,1000,simple,0,0,100,0,488,p1,m1
CAIC,p1m1,uneven,ideal,5000,simple,0,0,100,0,469,p1,m1
VLMR,p1m1,even,ideal,200,simple,4,6,49,40,495,p1,m1
VLMR,p1m1,even,ideal,500,simple,0,0,60,40,495,p1,m1
VLMR,p1m1,even,ideal,1000,simple,0,0,70,30,492,p1,m1
VLMR,p1m1,even,ideal,5000,simple,0,0,83,17,479,p1,m1
VLMR,p1m1,uneven,ideal,200,simple,4,20,46,30,496,p1,m1
VLMR,p1m1,uneven,ideal,500,simple,0,1,63,36,492,p1,m1
VLMR,p1m1,uneven,ideal,1000,simple,0,0,67,33,488,p1,m1
VLMR,p1m1,uneven,ideal,5000,simple,0,0,83,17,469,p1,m1
aBIC,p1m1,even,ideal,200,simple,0,0,95,5,495,p1,m1
aBIC,p1m1,even,ideal,500,simple,0,0,99,1,495,p1,m1
aBIC,p1m1,even,ideal,1000,simple,0,0,100,0,492,p1,m1
aBIC,p1m1,even,ideal,5000,simple,0,0,100,0,479,p1,m1
aBIC,p1m1,uneven,ideal,200,simple,0,2,92,6,496,p1,m1
aBIC,p1m1,uneven,ideal,500,simple,0,0,100,0,492,p1,m1
aBIC,p1m1,uneven,ideal,1000,simple,0,0,100,0,488,p1,m1
aBIC,p1m1,uneven,ideal,5000,simple,0,0,100,0,469,p1,m1
cmPk,p1m1,even,ideal,200,simple,0,2,98,0,495,p1,m1
cmPk,p1m1,even,ideal,500,simple,0,0,100,0,495,p1,m1
cmPk,p1m1,even,ideal,1000,simple,0,0,100,0,492,p1,m1
cmPk,p1m1,even,ideal,5000,simple,0,0,100,0,479,p1,m1
cmPk,p1m1,uneven,ideal,200,simple,0,49,51,0,496,p1,m1
cmPk,p1m1,uneven,ideal,500,simple,0,1,99,0,492,p1,m1
cmPk,p1m1,uneven,ideal,1000,simple,0,0,100,0,488,p1,m1
cmPk,p1m1,uneven,ideal,5000,simple,0,0,100,0,469,p1,m1
AWE,p2m1,even,ideal,200,simple,27,72,0,0,494,p2,m1
