Fit_Index,sim_model,k_split,separation,N,de,model,Class_2,Class_3,Class_4,Class_5,Total,p,m
AWE,p3m1,even,ideal,200,1.5,simple,13,87,0,0,284,p3,m1
AWE,p3m1,even,ideal,200,0.9,simple,17,83,0,0,292,p3,m1
AWE,p3m1,even,ideal,200,0.405,simple,16,84,1,0,306,p3,m1
AWE,p3m1,even,ideal,500,1.5,simple,0,39,61,0,356,p3,m1
AWE,p3m1,even,ideal,500,0.9,simple,0,13,87,0,385,p3,m1
AWE,p3m1,even,ideal,500,0.405,simple,0,4,96,0,360,p3,m1
AWE,p3m1,even,ideal,1000,1.5,simple,0,0,100,0,422,p3,m1
AWE,p3m1,even,ideal,1000,0.9,simple,0,0,100,0,428,p3,m1
AWE,p3m1,even,ideal,1000,0.405,simple,0,0,100,0,431,p3,m1
AWE,p3m1,even,ideal,5000,1.5,simple,0,0,100,0,471,p3,m1
AWE,p3m1,even,ideal,5000,0.9,simple,0,0,100,0,467,p3,m1
AWE,p3m1,even,ideal,5000,0.405,simple,0,0,100,0,467,p3,m1
AWE,p3m1,uneven,ideal,200,1.5,simple,39,61,0,0,264,p3,m1
AWE,p3m1,uneven,ideal,200,0.9,simple,31,69,0,0,293,p3,m1
AWE,p3m1,uneven,ideal,200,0.405,simple,35,65,0,0,307,p3,m1
AWE,p3m1,uneven,ideal,500,1.5,simple,0,49,51,0,353,p3,m1
AWE,p3m1,uneven,ideal,500,0.9,simple,0,35,65,0,361,p3,m1
AWE,p3m1,uneven,ideal,500,0.405,simple,0,26,74,0,365,p3,m1
AWE,p3m1,uneven,ideal,1000,1.5,simple,0,0,100,0,427,p3,m1
AWE,p3m1,uneven,ideal,1000,0.9,simple,0,0,100,0,414,p3,m1
AWE,p3m1,uneven,ideal,1000,0.405,simple,0,0,100,0,415,p3,m1
AWE,p3m1,uneven,ideal,5000,1.5,simple,0,0,100,0,462,p3,m1
AWE,p3m1,uneven,ideal,5000,0.9,simple,0,0,100,0,464,p3,m1
AWE,p3m1,uneven,ideal,5000,0.405,simple,0,0,100,0,459,p3,m1
BIC,p3m1,even,ideal,200,1.5,simple,0,18,82,0,284,p3,m1
BIC,p3m1,even,ideal,200,0.9,simple,0,6,94,0,292,p3,m1
BIC,p3m1,even,ideal,200,0.405,simple,0,5,95,0,306,p3,m1
BIC,p3m1,even,ideal,500,1.5,simple,0,0,100,0,356,p3,m1
BIC,p3m1,even,ideal,500,0.9,simple,0,0,100,0,385,p3,m1
BIC,p3m1,even,ideal,500,0.405,simple,0,0,100,0,360,p3,m1
BIC,p3m1,even,ideal,1000,1.5,simple,0,0,100,0,422,p3,m1
BIC,p3m1,even,ideal,1000,0.9,simple,0,0,100,0,428,p3,m1
BIC,p3m1,even,ideal,1000,0.405,simple,0,0,100,0,431,p3,m1
BIC,p3m1,even,ideal,5000,1.5,simple,0,0,100,0,471,p3,m1
BIC,p3m1,even,ideal,5000,0.9,simple,0,0,100,0,467,p3,m1
BIC,p3m1,even,ideal,5000,0.405,simple,0,0,100,0,467,p3,m1
BIC,p3m1,uneven,ideal,200,1.5,simple,0,26,74,0,264,p3,m1
BIC,p3m1,uneven,ideal,200,0.9,simple,0,18,82,0,293,p3,m1
BIC,p3m1,uneven,ideal,200,0.405,simple,0,13,87,0,307,p3,m1
