Fit_Index,sim_model,k_split,separation,N,model,Class_2,Class_3,Class_4,Class_5,Class_6,Total,p,m
AWE,p1m1,even,realistic,200,complex,100,0,0,0,0,455,p1,m1
AWE,p1m1,even,realistic,500,complex,0,94,6,0,0,490,p1,m1
AWE,p1m1,even,realistic,1000,complex,0,0,2,97,0,488,p1,m1
AWE,p1m1,even,realistic,5000,complex,0,0,0,100,0,486,p1,m1
AWE,p1m1,uneven,realistic,200,complex,100,0,0,0,0,420,p1,m1
AWE,p1m1,uneven,realistic,500,complex,45,46,9,0,0,479,p1,m1
AWE,p1m1,uneven,realistic,1000,complex,0,0,99,1,0,487,p1,m1
AWE,p1m1,uneven,realistic,5000,complex,0,0,0,100,0,473,p1,m1
BIC,p1m1,even,realistic,200,complex,0,31,42,26,0,455,p1,m1
BIC,p1m1,even,realistic,500,complex,0,0,0,100,0,490,p1,m1
BIC,p1m1,even,realistic,1000,complex,0,0,0,100,0,488,p1,m1
BIC,p1m1,even,realistic,5000,complex,0,0,0,100,0,486,p1,m1
BIC,p1m1,uneven,realistic,200,complex,9,37,53,1,0,420,p1,m1
BIC,p1m1,uneven,realistic,500,complex,0,0,61,39,0,479,p1,m1
BIC,p1m1,uneven,realistic,1000,complex,0,0,2,98,0,487,p1,m1
BIC,p1m1,uneven,realistic,5000,complex,0,0,0,100,0,473,p1,m1
CAIC,p1m1,even,realistic,200,complex,2,64,29,4,0,455,p1,m1
CAIC,p1m1,even,realistic,500,complex,0,0,2,98,0,490,p1,m1
CAIC,p1m1,even,realistic,1000,complex,0,0,0,100,0,488,p1,m1
CAIC,p1m1,even,realistic,5000,complex,0,0,0,100,0,486,p1,m1
CAIC,p1m1,uneven,realistic,200,complex,28,48,24,0,0,420,p1,m1
CAIC,p1m1,uneven,realistic,500,complex,0,0,81,19,0,479,p1,m1
CAIC,p1m1,uneven,realistic,1000,complex,0,0,6,94,0,487,p1,m1
CAIC,p1m1,uneven,realistic,5000,complex,0,0,0,100,0,473,p1,m1
VLMR,p1m1,even,realistic,200,complex,9,36,24,28,4,455,p1,m1
VLMR,p1m1,even,realistic,500,complex,1,12,1,74,12,490,p1,m1
VLMR,p1m1,even,realistic,1000,complex,0,5,0,79,16,488,p1,m1
VLMR,p1m1,even,realistic,5000,complex,0,0,0,85,15,486,p1,m1
VLMR,p1m1,uneven,realistic,200,complex,16,30,39,14,2,420,p1,m1
VLMR,p1m1,uneven,realistic,500,complex,2,7,23,58,10,479,p1,m1
VLMR,p1m1,uneven,realistic,1000,complex,0,4,3,79,14,487,p1,m1
VLMR,p1m1,uneven,realistic,5000,complex,0,0,0,81,19,473,p1,m1
aBIC,p1m1,even,realistic,200,complex,0,0,0,71,29,455,p1,m1
aBIC,p1m1,even,realistic,500,complex,0,0,0,100,0,490,p1,m1
aBIC,p1m1,even,realistic,1000,complex,0,0,0,100,0,488,p1,m1
aBIC,p1m1,even,realistic,5000,complex,0,0,0,100,0,486,p1,m1
aBIC,p1m1,uneven,realistic,200,complex,0,0,8,72,20,420,p1,m1
aBIC,p1m1,uneven,realistic,500,complex,0,0,2,98,0,479,p1,m1
aBIC,p1m1,uneven,realistic,1000,complex,0,0,0,100,0,487,p1,m1
aBIC,p1m1,uneven,realistic,5000,complex,0,0,0,100,0,473,p1,m1
cmPk,p1m1,even,realistic,200,complex,0,31,42,26,0,455,p1,m1
cmPk,p1m1,even,realistic,500,complex,0,0,0,100,0,490,p1,m1
cmPk,p1m1,even,realistic,1000,complex,0,0,0,100,0,488,p1,m1
cmPk,p1m1,even,realistic,5000,complex,0,0,0,100,0,486,p1,m1
cmPk,p1m1,uneven,realistic,200,complex,9,37,53,1,0,420,p1,m1
cmPk,p1m1,uneven,realistic,500,complex,0,0,61,39,0,479,p1,m1
cmPk,p1m1,uneven,realistic,1000,complex,0,0,2,98,0,487,p1,m1
cmPk,p1m1,uneven,realistic,5000,complex,0,0,0,100,0,473,p1,m1
AWE,p2m1,even,realistic,200,complex,100,0,0,0,0,469,p2,m1
AWE,p2m1,even,realistic,500,complex,7,92,1,0,0,490,p2,m1
AWE,p2m1,even,realistic,1000,complex,0,0,1,99,0,486,p2,m1
AWE,p2m1,even,realistic,5000,complex,0,0,0,100,0,476,p2,m1
AWE,p2m1,uneven,realistic,200,complex,100,0,0,0,0,460,p2,m1
