Fit_Index,sim_model,k_split,separation,N,de,model,Class_2,Class_3,Class_4,Class_5,Class_6,Total,p,m
AWE,p3m1,even,realistic,200,1.5,complex,100,0,0,0,0,304,p3,m1
AWE,p3m1,even,realistic,200,0.9,complex,100,0,0,0,0,309,p3,m1
AWE,p3m1,even,realistic,200,0.405,complex,100,0,0,0,0,295,p3,m1
AWE,p3m1,even,realistic,500,1.5,complex,44,56,0,0,0,383,p3,m1
AWE,p3m1,even,realistic,500,0.9,complex,26,74,1,0,0,408,p3,m1
AWE,p3m1,even,realistic,500,0.405,complex,11,88,1,0,0,387,p3,m1
AWE,p3m1,even,realistic,1000,1.5,complex,0,10,88,2,0,396,p3,m1
AWE,p3m1,even,realistic,1000,0.9,complex,0,11,40,49,0,419,p3,m1
AWE,p3m1,even,realistic,1000,0.405,complex,0,3,6,91,0,432,p3,m1
AWE,p3m1,even,realistic,5000,1.5,complex,0,0,0,100,0,430,p3,m1
AWE,p3m1,even,realistic,5000,0.9,complex,0,0,0,100,0,461,p3,m1
AWE,p3m1,even,realistic,5000,0.405,complex,0,0,0,100,0,451,p3,m1
AWE,p3m1,uneven,realistic,200,1.5,complex,100,0,0,0,0,305,p3,m1
AWE,p3m1,uneven,realistic,200,0.9,complex,100,0,0,0,0,301,p3,m1
AWE,p3m1,uneven,realistic,200,0.405,complex,100,0,0,0,0,303,p3,m1
AWE,p3m1,uneven,realistic,500,1.5,complex,80,20,0,0,0,373,p3,m1
AWE,p3m1,uneven,realistic,500,0.9,complex,55,44,0,0,0,391,p3,m1
AWE,p3m1,uneven,realistic,500,0.405,complex,45,55,0,0,0,383,p3,m1
AWE,p3m1,uneven,realistic,1000,1.5,complex,0,20,80,0,0,397,p3,m1
AWE,p3m1,uneven,realistic,1000,0.9,complex,0,25,65,10,0,411,p3,m1
AWE,p3m1,uneven,realistic,1000,0.405,complex,0,12,55,32,0,426,p3,m1
AWE,p3m1,uneven,realistic,5000,1.5,complex,0,0,0,100,0,464,p3,m1
AWE,p3m1,uneven,realistic,5000,0.9,complex,0,0,0,100,0,456,p3,m1
AWE,p3m1,uneven,realistic,5000,0.405,complex,0,0,0,100,0,445,p3,m1
BIC,p3m1,even,realistic,200,1.5,complex,9,57,34,1,0,304,p3,m1
BIC,p3m1,even,realistic,200,0.9,complex,5,53,37,5,0,309,p3,m1
BIC,p3m1,even,realistic,200,0.405,complex,3,47,38,13,0,295,p3,m1
BIC,p3m1,even,realistic,500,1.5,complex,0,1,41,59,0,383,p3,m1
BIC,p3m1,even,realistic,500,0.9,complex,0,0,5,95,0,408,p3,m1
BIC,p3m1,even,realistic,500,0.405,complex,0,0,0,100,0,387,p3,m1
BIC,p3m1,even,realistic,1000,1.5,complex,0,0,1,99,0,396,p3,m1
BIC,p3m1,even,realistic,1000,0.9,complex,0,0,0,100,0,419,p3,m1
BIC,p3m1,even,realistic,1000,0.405,complex,0,0,0,100,0,432,p3,m1
BIC,p3m1,even,realistic,5000,1.5,complex,0,0,0,66,34,430,p3,m1
BIC,p3m1,even,realistic,5000,0.9,complex,0,0,0,100,0,461,p3,m1
BIC,p3m1,even,realistic,5000,0.405,complex,0,0,0,100,0,451,p3,m1
BIC,p3m1,uneven,realistic,200,1.5,complex,25,55,20,0,0,305,p3,m1
BIC,p3m1,uneven,realistic,200,0.9,complex,18,56,25,1,0,301,p3,m1
BIC,p3m1,uneven,realistic,200,0.405,complex,13,51,32,5,0,303,p3,m1
BIC,p3m1,uneven,realistic,500,1.5,complex,0,1,61,38,0,373,p3,m1
BIC,p3m1,uneven,realistic,500,0.9,complex,0,1,27,72,0,391,p3,m1
BIC,p3m1,uneven,realistic,500,0.405,complex,0,0,11,89,0,383,p3,m1
BIC,p3m1,uneven,realistic,1000,1.5,complex,0,0,2,98,0,397,p3,m1
BIC,p3m1,uneven,realistic,1000,0.9,complex,0,0,0,100,0,411,p3,m1
BIC,p3m1,uneven,realistic,1000,0.405,complex,0,0,0,100,0,426,p3,m1
BIC,p3m1,uneven,realistic,5000,1.5,complex,0,0,0,65,35,464,p3,m1
BIC,p3m1,uneven,realistic,5000,0.9,complex,0,0,0,100,0,456,p3,m1
BIC,p3m1,uneven,realistic,5000,0.405,complex,0,0,0,100,0,445,p3,m1
CAIC,p3m1,even,realistic,200,1.5,complex,31,60,10,0,0,304,p3,m1
CAIC,p3m1,even,realistic,200,0.9,complex,23,65,12,0,0,309,p3,m1
CAIC,p3m1,even,realistic,200,0.405,complex,16,69,14,1,0,295,p3,m1
CAIC,p3m1,even,realistic,500,1.5,complex,0,2,66,32,0,383,p3,m1
CAIC,p3m1,even,realistic,500,0.9,complex,0,0,18,81,0,408,p3,m1
CAIC,p3m1,even,realistic,500,0.405,complex,0,0,3,97,0,387,p3,m1
CAIC,p3m1,even,realistic,1000,1.5,complex,0,0,1,99,0,396,p3,m1
CAIC,p3m1,even,realistic,1000,0.9,complex,0,0,0,100,0,419,p3,m1
CAIC,p3m1,even,realistic,1000,0.405,complex,0,0,0,100,0,432,p3,m1
CAIC,p3m1,even,realistic,5000,1.5,complex,0,0,0,86,14,430,p3,m1
CAIC,p3m1,even,realistic,5000,0.9,complex,0,0,0,100,0,461,p3,m1
CAIC,p3m1,even,realistic,5000,0.405,complex,0,0,0,100,0,451,p3,m1
CAIC,p3m1,uneven,realistic,200,1.5,complex,54,42,4,0,0,305,p3,m1
CAIC,p3m1,uneven,realistic,200,0.9,complex,42,51,7,0,0,301,p3,m1
CAIC,p3m1,uneven,realistic,200,0.405,complex,36,54,10,0,0,303,p3,m1
CAIC,p3m1,uneven,realistic,500,1.5,complex,0,6,79,15,0,373,p3,m1
CAIC,p3m1,uneven,realistic,500,0.9,complex,0,4,52,43,0,391,p3,m1
CAIC,p3m1,uneven,realistic,500,0.405,complex,0,2,27,71,0,383,p3,m1
CAIC,p3m1,uneven,realistic,1000,1.5,complex,0,0,7,93,0,397,p3,m1
CAIC,p3m1,uneven,realistic,1000,0.9,complex,0,0,0,100,0,411,p3,m1
CAIC,p3m1,uneven,realistic,1000,0.405,complex,0,0,0,100,0,426,p3,m1
CAIC,p3m1,uneven,realistic,5000,1.5,complex,0,0,0,87,13,464,p3,m1
CAIC,p3m1,uneven,realistic,5000,0.9,complex,0,0,0,100,0,456,p3,m1
CAIC,p3m1,uneven,realistic,5000,0.405,complex,0,0,0,100,0,445,p3,m1
VLMR,p3m1,even,realistic,200,1.5,complex,26,42,23,8,1,304,p3,m1
VLMR,p3m1,even,realistic,200,0.9,complex,18,41,27,12,1,309,p3,m1
VLMR,p3m1,even,realistic,200,0.405,complex,15,37,25,18,5,295,p3,m1
VLMR,p3m1,even,realistic,500,1.5,complex,6,25,15,48,6,383,p3,m1
VLMR,p3m1,even,realistic,500,0.9,complex,6,21,6,60,7,408,p3,m1
VLMR,p3m1,even,realistic,500,0.405,complex,3,9,3,75,10,387,p3,m1
VLMR,p3m1,even,realistic,1000,1.5,complex,2,18,0,58,22,396,p3,m1
VLMR,p3m1,even,realistic,1000,0.9,complex,2,15,0,70,14,419,p3,m1
VLMR,p3m1,even,realistic,1000,0.405,complex,0,5,0,80,15,432,p3,m1
VLMR,p3m1,even,realistic,5000,1.5,complex,0,6,0,10,85,430,p3,m1
VLMR,p3m1,even,realistic,5000,0.9,complex,0,4,0,65,31,461,p3,m1
VLMR,p3m1,even,realistic,5000,0.405,complex,0,0,0,86,14,451,p3,m1
VLMR,p3m1,uneven,realistic,200,1.5,complex,28,46,19,6,2,305,p3,m1
VLMR,p3m1,uneven,realistic,200,0.9,complex,24,43,22,10,2,301,p3,m1
VLMR,p3m1,uneven,realistic,200,0.405,complex,22,38,21,15,3,303,p3,m1
VLMR,p3m1,uneven,realistic,500,1.5,complex,6,21,21,46,7,373,p3,m1
VLMR,p3m1,uneven,realistic,500,0.9,complex,4,16,11,61,8,391,p3,m1
VLMR,p3m1,uneven,realistic,500,0.405,complex,5,10,6,69,9,383,p3,m1
VLMR,p3m1,uneven,realistic,1000,1.5,complex,1,7,3,64,25,397,p3,m1
VLMR,p3m1,uneven,realistic,1000,0.9,complex,1,10,0,76,13,411,p3,m1
VLMR,p3m1,uneven,realistic,1000,0.405,complex,1,4,0,81,14,426,p3,m1
VLMR,p3m1,uneven,realistic,5000,1.5,complex,0,0,0,10,90,464,p3,m1
VLMR,p3m1,uneven,realistic,5000,0.9,complex,0,4,0,60,37,456,p3,m1
VLMR,p3m1,uneven,realistic,5000,0.405,complex,0,0,0,86,14,445,p3,m1
aBIC,p3m1,even,realistic,200,1.5,complex,0,0,5,52,43,304,p3,m1
aBIC,p3m1,even,realistic,200,0.9,complex,0,0,2,64,34,309,p3,m1
aBIC,p3m1,even,realistic,200,0.405,complex,0,0,2,66,32,295,p3,m1
aBIC,p3m1,even,realistic,500,1.5,complex,0,0,0,87,12,383,p3,m1
aBIC,p3m1,even,realistic,500,0.9,complex,0,0,0,97,3,408,p3,m1
aBIC,p3m1,even,realistic,500,0.405,complex,0,0,0,98,2,387,p3,m1
aBIC,p3m1,even,realistic,1000,1.5,complex,0,0,0,85,15,396,p3,m1
aBIC,p3m1,even,realistic,1000,0.9,complex,0,0,0,100,0,419,p3,m1
aBIC,p3m1,even,realistic,1000,0.405,complex,0,0,0,100,0,432,p3,m1
aBIC,p3m1,even,realistic,5000,1.5,complex,0,0,0,1,99,430,p3,m1
aBIC,p3m1,even,realistic,5000,0.9,complex,0,0,0,100,0,461,p3,m1
aBIC,p3m1,even,realistic,5000,0.405,complex,0,0,0,100,0,451,p3,m1
aBIC,p3m1,uneven,realistic,200,1.5,complex,0,0,7,54,39,305,p3,m1
aBIC,p3m1,uneven,realistic,200,0.9,complex,0,0,6,64,30,301,p3,m1
aBIC,p3m1,uneven,realistic,200,0.405,complex,0,0,1,72,27,303,p3,m1
aBIC,p3m1,uneven,realistic,500,1.5,complex,0,0,1,88,11,373,p3,m1
aBIC,p3m1,uneven,realistic,500,0.9,complex,0,0,0,97,3,391,p3,m1
aBIC,p3m1,uneven,realistic,500,0.405,complex,0,0,0,98,2,383,p3,m1
aBIC,p3m1,uneven,realistic,1000,1.5,complex,0,0,0,87,13,397,p3,m1
aBIC,p3m1,uneven,realistic,1000,0.9,complex,0,0,0,100,0,411,p3,m1
aBIC,p3m1,uneven,realistic,1000,0.405,complex,0,0,0,100,0,426,p3,m1
aBIC,p3m1,uneven,realistic,5000,1.5,complex,0,0,0,1,99,464,p3,m1
aBIC,p3m1,uneven,realistic,5000,0.9,complex,0,0,0,100,0,456,p3,m1
aBIC,p3m1,uneven,realistic,5000,0.405,complex,0,0,0,100,0,445,p3,m1
cmPk,p3m1,even,realistic,200,1.5,complex,9,57,34,1,0,304,p3,m1
cmPk,p3m1,even,realistic,200,0.9,complex,5,53,37,5,0,309,p3,m1
cmPk,p3m1,even,realistic,200,0.405,complex,3,47,38,13,0,295,p3,m1
cmPk,p3m1,even,realistic,500,1.5,complex,0,1,41,59,0,383,p3,m1
cmPk,p3m1,even,realistic,500,0.9,complex,0,0,5,95,0,408,p3,m1
cmPk,p3m1,even,realistic,500,0.405,complex,0,0,0,100,0,387,p3,m1
cmPk,p3m1,even,realistic,1000,1.5,complex,0,0,1,99,0,396,p3,m1
cmPk,p3m1,even,realistic,1000,0.9,complex,0,0,0,100,0,419,p3,m1
cmPk,p3m1,even,realistic,1000,0.405,complex,0,0,0,100,0,432,p3,m1
cmPk,p3m1,even,realistic,5000,1.5,complex,0,0,0,66,34,430,p3,m1
cmPk,p3m1,even,realistic,5000,0.9,complex,0,0,0,100,0,461,p3,m1
cmPk,p3m1,even,realistic,5000,0.405,complex,0,0,0,100,0,451,p3,m1
