Fit_Index,sim_model,k_split,separation,N,model,Class_2,Class_3,Class_4,Class_5,Total,p,m
AWE,p1m1,even,realistic,200,simple,100,0,0,0,491,p1,m1
AWE,p1m1,even,realistic,500,simple,94,6,0,0,496,p1,m1
AWE,p1m1,even,realistic,1000,simple,4,42,54,0,496,p1,m1
AWE,p1m1,even,realistic,5000,simple,0,0,100,0,469,p1,m1
AWE,p1m1,uneven,realistic,200,simple,100,0,0,0,493,p1,m1
AWE,p1m1,uneven,realistic,500,simple,99,1,0,0,495,p1,m1
AWE,p1m1,uneven,realistic,1000,simple,53,47,0,0,490,p1,m1
AWE,p1m1,uneven,realistic,5000,simple,0,0,100,0,477,p1,m1
BIC,p1m1,even,realistic,200,simple,49,43,8,0,491,p1,m1
BIC,p1m1,even,realistic,500,simple,0,9,91,0,496,p1,m1
BIC,p1m1,even,realistic,1000,simple,0,0,100,0,496,p1,m1
BIC,p1m1,even,realistic,5000,simple,0,0,100,0,469,p1,m1
BIC,p1m1,uneven,realistic,200,simple,78,21,1,0,493,p1,m1
BIC,p1m1,uneven,realistic,500,simple,8,60,33,0,495,p1,m1
BIC,p1m1,uneven,realistic,1000,simple,0,3,97,0,490,p1,m1
BIC,p1m1,uneven,realistic,5000,simple,0,0,100,0,477,p1,m1
CAIC,p1m1,even,realistic,200,simple,75,24,1,0,491,p1,m1
CAIC,p1m1,even,realistic,500,simple,1,23,76,0,496,p1,m1
CAIC,p1m1,even,realistic,1000,simple,0,0,100,0,496,p1,m1
CAIC,p1m1,even,realistic,5000,simple,0,0,100,0,469,p1,m1
CAIC,p1m1,uneven,realistic,200,simple,93,7,0,0,493,p1,m1
CAIC,p1m1,uneven,realistic,500,simple,20,67,13,0,495,p1,m1
CAIC,p1m1,uneven,realistic,1000,simple,0,11,89,0,490,p1,m1
CAIC,p1m1,uneven,realistic,5000,simple,0,0,100,0,477,p1,m1
VLMR,p1m1,even,realistic,200,simple,18,35,38,10,491,p1,m1
VLMR,p1m1,even,realistic,500,simple,8,3,75,14,496,p1,m1
VLMR,p1m1,even,realistic,1000,simple,3,0,78,19,496,p1,m1
VLMR,p1m1,even,realistic,5000,simple,0,0,78,22,469,p1,m1
VLMR,p1m1,uneven,realistic,200,simple,24,44,24,8,493,p1,m1
VLMR,p1m1,uneven,realistic,500,simple,5,15,66,14,495,p1,m1
VLMR,p1m1,uneven,realistic,1000,simple,3,1,78,18,490,p1,m1
VLMR,p1m1,uneven,realistic,5000,simple,0,0,79,21,477,p1,m1
aBIC,p1m1,even,realistic,200,simple,0,5,88,7,491,p1,m1
aBIC,p1m1,even,realistic,500,simple,0,0,99,1,496,p1,m1
aBIC,p1m1,even,realistic,1000,simple,0,0,100,0,496,p1,m1
aBIC,p1m1,even,realistic,5000,simple,0,0,100,0,469,p1,m1
aBIC,p1m1,uneven,realistic,200,simple,1,33,62,4,493,p1,m1
aBIC,p1m1,uneven,realistic,500,simple,0,4,94,1,495,p1,m1
aBIC,p1m1,uneven,realistic,1000,simple,0,0,100,0,490,p1,m1
aBIC,p1m1,uneven,realistic,5000,simple,0,0,100,0,477,p1,m1
cmPk,p1m1,even,realistic,200,simple,49,43,8,0,491,p1,m1
cmPk,p1m1,even,realistic,500,simple,0,9,91,0,496,p1,m1
cmPk,p1m1,even,realistic,1000,simple,0,0,100,0,496,p1,m1
cmPk,p1m1,even,realistic,5000,simple,0,0,100,0,469,p1,m1
cmPk,p1m1,uneven,realistic,200,simple,78,21,1,0,493,p1,m1
cmPk,p1m1,uneven,realistic,500,simple,8,60,33,0,495,p1,m1
cmPk,p1m1,uneven,realistic,1000,simple,0,3,97,0,490,p1,m1
cmPk,p1m1,uneven,realistic,5000,simple,0,0,100,0,477,p1,m1
AWE,p2m1,even,realistic,200,simple,100,0,0,0,495,p2,m1
AWE,p2m1,even,realistic,500,simple,97,3,0,0,494,p2,m1
AWE,p2m1,even,realistic,1000,simple,10,44,47,0,484,p2,m1
AWE,p2m1,even,realistic,5000,simple,0,0,100,0,474,p2,m1
AWE,p2m1,uneven,realistic,200,simple,100,0,0,0,493,p2,m1
AWE,p2m1,uneven,realistic,500,simple,97,3,0,0,496,p2,m1
AWE,p2m1,uneven,realistic,1000,simple,14,76,10,0,491,p2,m1
AWE,p2m1,uneven,realistic,5000,simple,0,0,100,0,474,p2,m1
BIC,p2m1,even,realistic,200,simple,55,40,4,0,495,p2,m1
BIC,p2m1,even,realistic,500,simple,0,13,87,0,494,p2,m1
BIC,p2m1,even,realistic,1000,simple,0,0,100,0,484,p2,m1
BIC,p2m1,even,realistic,5000,simple,0,0,100,0,474,p2,m1
BIC,p2m1,uneven,realistic,200,simple,63,36,1,0,493,p2,m1
BIC,p2m1,uneven,realistic,500,simple,1,38,60,0,496,p2,m1
BIC,p2m1,uneven,realistic,1000,simple,0,0,100,0,491,p2,m1
BIC,p2m1,uneven,realistic,5000,simple,0,0,100,0,474,p2,m1
CAIC,p2m1,even,realistic,200,simple,81,18,1,0,495,p2,m1
CAIC,p2m1,even,realistic,500,simple,1,30,69,0,494,p2,m1
CAIC,p2m1,even,realistic,1000,simple,0,0,100,0,484,p2,m1
CAIC,p2m1,even,realistic,5000,simple,0,0,100,0,474,p2,m1
