Fit_Index,sim_model,k_split,separation,N,de,model,Class_2,Class_3,Class_4,Class_5,Total,p,m
AWE,p3m1,even,realistic,200,1.5,simple,100,0,0,0,315,p3,m1
AWE,p3m1,even,realistic,200,0.9,simple,100,0,0,0,325,p3,m1
AWE,p3m1,even,realistic,200,0.405,simple,100,0,0,0,347,p3,m1
AWE,p3m1,even,realistic,500,1.5,simple,95,5,0,0,358,p3,m1
AWE,p3m1,even,realistic,500,0.9,simple,96,4,0,0,395,p3,m1
AWE,p3m1,even,realistic,500,0.405,simple,96,4,0,0,385,p3,m1
AWE,p3m1,even,realistic,1000,1.5,simple,7,47,46,0,413,p3,m1
AWE,p3m1,even,realistic,1000,0.9,simple,5,37,58,0,408,p3,m1
AWE,p3m1,even,realistic,1000,0.405,simple,6,33,61,0,414,p3,m1
AWE,p3m1,even,realistic,5000,1.5,simple,0,0,100,0,483,p3,m1
AWE,p3m1,even,realistic,5000,0.9,simple,0,0,100,0,457,p3,m1
AWE,p3m1,even,realistic,5000,0.405,simple,0,0,100,0,447,p3,m1
AWE,p3m1,uneven,realistic,200,1.5,simple,100,0,0,0,293,p3,m1
AWE,p3m1,uneven,realistic,200,0.9,simple,100,0,0,0,337,p3,m1
AWE,p3m1,uneven,realistic,200,0.405,simple,100,0,0,0,349,p3,m1
AWE,p3m1,uneven,realistic,500,1.5,simple,66,34,0,0,388,p3,m1
AWE,p3m1,uneven,realistic,500,0.9,simple,76,24,0,0,393,p3,m1
AWE,p3m1,uneven,realistic,500,0.405,simple,91,9,0,0,398,p3,m1
AWE,p3m1,uneven,realistic,1000,1.5,simple,0,90,10,0,425,p3,m1
AWE,p3m1,uneven,realistic,1000,0.9,simple,0,80,20,0,424,p3,m1
AWE,p3m1,uneven,realistic,1000,0.405,simple,2,79,19,0,419,p3,m1
AWE,p3m1,uneven,realistic,5000,1.5,simple,0,0,99,1,477,p3,m1
AWE,p3m1,uneven,realistic,5000,0.9,simple,0,0,100,0,459,p3,m1
AWE,p3m1,uneven,realistic,5000,0.405,simple,0,0,100,0,441,p3,m1
BIC,p3m1,even,realistic,200,1.5,simple,50,41,9,0,315,p3,m1
BIC,p3m1,even,realistic,200,0.9,simple,51,41,8,0,325,p3,m1
BIC,p3m1,even,realistic,200,0.405,simple,49,43,9,0,347,p3,m1
BIC,p3m1,even,realistic,500,1.5,simple,0,8,91,0,358,p3,m1
